sample_id,mgs_level,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
153,MGS1,2.4742632,-0.25991088,-0.48037845,-0.66405594,0.14229125,-0.5362066,-0.7580152,-0.67818886,-1.3265127,1.0476398,-0.7132766,-0.882799,-0.94468975,0.9167238,0.15926556,-1.2306333
162,MGS1,0.7234916,1.106228,-0.49394473,0.282914,-0.07700498,-0.38679293,-0.12161106,0.607017,-1.311816,1.1320628,0.5848732,0.71271735,0.49578202,-0.766031,0.1268562,-1.2406996
163,MGS1,0.711757,-0.7713912,-0.80504674,0.03313903,-0.92848057,0.097540684,-0.24474558,-1.0887022,0.5050658,-0.76037735,-1.8107138,-0.18797524,0.2082282,0.52624947,-0.03959473,0.48019955
172,MGS1,0.4520673,-0.19897288,1.4243902,-0.29913375,0.51800156,-1.3395715,1.0661439,1.1517851,-0.9260801,0.14593373,1.2287056,0.15123068,-0.9439404,0.6903649,-0.050186165,0.22969909
173,MGS1,0.9963549,-0.27399388,0.30662408,-1.2346157,-1.5995145,0.20612335,0.15537816,-1.3178599,0.56298816,0.5437945,-0.1100994,0.2715262,-0.85499525,0.021024138,1.3270267,-0.4229715
177,MGS1,0.66355664,0.39554152,0.08533896,0.9665386,-0.96136844,0.08967138,0.98961204,0.110229775,-0.25451612,-0.2590925,0.011655377,0.4786828,0.006956031,-0.2906844,-0.07836394,0.39580658
189,MGS1,-0.08359639,0.4791224,0.27994078,1.5740435,-0.28222406,0.2677789,0.9780875,0.5561285,-0.0714665,-0.2549465,0.45214018,0.4270415,-0.69470346,-0.93616974,-0.7410012,0.063658014
217,MGS1,0.86697537,1.1514323,-0.105537795,1.2113286,-1.0473365,0.37760207,0.84789485,0.13123414,0.1137111,-0.8097289,-0.50192106,0.39192078,0.50732994,-1.0329369,-0.071096875,0.557242
218,MGS1,0.79924756,0.35656008,1.4515755,-0.9940202,-0.46012464,-1.8061597,0.23133157,1.0265155,-0.6442597,-2.162431,-0.15791495,0.63549525,-1.1091896,1.200501,0.30531842,1.2158847
229,MGS1,2.243732,0.81667805,-0.62317896,0.07733761,0.108681686,0.63171667,-0.040302854,0.75939816,-2.2935197,1.1246922,1.1437285,-0.019455064,-0.6258029,-0.8286143,-0.25355536,-1.0353178
237,MGS1,-1.3804841,-0.5152137,0.8322692,-0.066829234,-1.2843792,-0.57996374,0.9969449,-0.1583183,1.4440825,-0.682161,-0.44181433,1.2429514,0.68713546,0.25672686,0.7107964,0.8167323
243,MGS1,0.66744864,-0.0693961,0.22953255,0.08147439,-1.3322786,-1.0132146,0.6314828,0.07419224,0.25062236,-1.5503912,-0.8206852,0.5993445,-0.09801139,-0.49534073,0.8094802,1.4878149
246,MGS1,0.9804144,0.33683473,-1.549443,-1.0973088,0.025255486,1.8599857,-0.7248231,-1.8453735,-0.37660855,0.097863495,-0.883527,0.07702458,-0.4833663,-1.1251562,0.543354,-1.062732
251,MGS1,0.9369807,-0.27551565,-1.0593559,-0.020653494,-0.39843252,1.2904503,0.272178,-1.675603,0.6682931,-0.33083543,-1.3493507,-0.17188121,0.025041316,0.18752022,-0.1304085,-1.1730111
254,MGS1,0.73257905,0.06040687,-0.103675336,0.01678311,0.36073855,-0.27235657,-0.33049625,1.695284,-1.3606737,1.0252692,1.678955,0.5261645,0.21696764,-0.5585171,-0.7026261,-0.044127025
264,MGS1,1.4560157,-0.041606512,0.05506191,1.125554,0.40064514,0.23238531,-0.032454245,0.87289274,-1.9471842,2.2235148,1.3736775,-0.17170623,-0.16718054,-0.2441903,-1.0466273,-1.8874216
